id,label,text,view
0,MainActivity,Being STRONG is the only CHOICE you have! Until You are!!! STRONG HOW You never Know Tap anywhere on the screen to Start the epic journey,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
1,SettingActivity,null,android.view.ViewGroup
2,SubActivity,Back To Home COPIED! > < Page-1 KNOWLEDGE is knowing a tomato is a fruit.WISDOM is not putting a tomato in a fruit salad. KNOWLEDGE v/s WISDOM,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
3,SubActivity1,Back To Home COPIED! > < Page-2 He who smiles in a crisis has found someone to blame. RESPONSIBILITY,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
4,SubActivity2,Back To Home COPIED! > < Page-3 Politics and Diapers have one thing in common. They should both be changed REGULARLY and for the same reason. POLITICS v/s DIAPERS,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
5,SubActivity3,Back To Home COPIED! > < Page-4 I asked God for a bike but I know God doesn’t work that way. So I stole a bike and asked for forgiveness. GOD and ME,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
6,SubActivity4,Back To Home COPIED! > < Page-5 Light travels faster than sound. This is why some people appear bright until you hear them speak. LIGHT v/s SPEED,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
7,SubActivity5,Back To Home COPIED! > < Page-6 You spend the first 2 years of their life teaching them to walk and talk. Then you spend the next 16 years telling them to sit down and shut-up. CHILDREN,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
8,SubActivity6,Back To Home COPIED! > < Page-7 If I agreed with you we'd both be wrong DECISSION,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
9,SubActivity7,Back To Home COPIED! > < Page-8 To steal Ideas from one person is plagiarism. To steal from many is Research. IDEAS and RESEARCH,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
10,SubActivity8,Back To Home COPIED! > < Page-9 War does not determine who is RIGHT But it only determines - who is LEFT . WAR,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
11,SubActivity9,Back To Home COPIED! > < Page-10 The early bird might get the worm but the second mouse gets the cheese. slow and steady wins the race,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
12,SubActivity10,Back To Home Copy to Clipboard > < Page-11 Morning news is where they begin with ‘Good Morning’ and then proceed to tell you why it isn’t.,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
13,SubActivity11,Back To Home COPIED! > < Page-12 A bus station is where a bus stops. A train station is where a train stops. On my desk I have a work station.. Me and My WORK,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView
