id,label,text,view
0,SplashActivity,null,android.widget.ImageView
1,CategoryActivity,Show Alert Box Category,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
2,EnglishLoveStatusActivity,English Love Status,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
3,DisplayEnglishActivity,null,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button
4,ShayariCategory,Shayari Category,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
5,SMS_Category,SMS,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
6,HindiCategoryActivity,Hindi Status,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
7,EnglishCategoryActivity,English Status,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
8,EnglishLifeActivity,English Life Status,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
9,EnglishCoolActivity,English Cool Status,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
