id,label,text,view
0,MainActivity,Fee SMS Import Data Connect Owner Customer New sms Notification Choose Contacts and Send sms Parents Portal Code Choose Contacts and Send sms Parents Portal Code Not Shift Selected Result Attendance New Sms Owner Customer New sms Notification,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ListView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton
1,Notification,null,android.widget.RelativeLayout android.webkit.WebView
2,Settings,(i) Select this device name from SMS Connection Setting on Web Portal then Mark attendance on Web Portal and attendance SMS will be sent to parents from this SIM Card Step:3 Save Save device name Ab- 1) Enter any Device Name like Admin Mobile and Save Step:2 1) Allow this device to connect with your web portal Step:1 You can connect this device with your web portal and then mark attendance on your portal and SMS will be sent to Parents from this device SIM Card,android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.EditText android.widget.TextView android.widget.TextView android.widget.Switch android.widget.TextView android.widget.TextView android.widget.TextView
3,Downlad,Exam list Downloading Completed Students downloading in progress.... classes and sections downloaded Import Exam list Next Select a Fall / Session from list below and click on Next Step:2 Next Click on Next button to import List of all Fall and Sessions from your school website Step:1 Import Student Record from Server and Save in Mobile Phone Memory,android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView
4,Fee,Import Latest Invoices Send Pending Messages = Re Send Pending Delivery Report = Re try Faild to send = Re Send Delivered Messages = Stop Start Sending SMS Contacts Number of Students = Invoice Valid Till = Fee Due Date = Invoice Generated On =,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout com.github.mikephil.charting.charts.PieChart android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
5,NewSms,Send Pending Messages = Re Send Delivery Report Pending = Re try Failed to send = Re Send Delivered Messages = Stop Send New sms Contacts New sms New sms Respected ..gn,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.EditText
6,Result,Send Pending Messages = Re Send Pending Delivery Report = Re try Faild to send = Re Send Delivered Messages = Stop Processing.. Select Recepient )Import Result ( text Message,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.EditText
7,Attendance,Processing,android.widget.RelativeLayout android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar
8,Login,Login User Password Or Mobile No is Modified on Website Please Login Again Password Phone No Login,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.AutoCompleteTextView android.widget.TextView android.widget.ProgressBar
9,AddCustomerActivityFirst,Save Record Add phone number to phone contact book Address Notes Required in Hide Detail Demand Name back,android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.CheckBox android.widget.RelativeLayout android.widget.EditText android.widget.EditText android.widget.Spinner android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.Spinner android.widget.Spinner android.widget.Button android.widget.Spinner android.widget.LinearLayout android.widget.Spinner android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.ImageButton
10,SelectedCustomerActivity1,FIND Call Add Edit Delete Delete Address: Notes: SeptemberJanuaryMayOctoberAugustAprilDecemberRequired in FebruaryMarchJulyNovemberJune In With Maidroom Room in Room ContactNo CustomerName back,android.widget.LinearLayout android.widget.ListView android.widget.TableLayout android.widget.TableRow android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.LinearLayout android.widget.ImageButton
11,SelectedOwnerActivity1,FIND Call Add Edit Delete Delete Address: Notes: JulySeptemberJanuaryMayAvailable in MarchOctoberAugustJuneAprilDecemberNovemberFebruary In With Garden Room Room in ContactNo CustomerName back,android.widget.LinearLayout android.widget.ListView android.widget.TableLayout android.widget.TableRow android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.LinearLayout android.widget.ImageButton
12,Recepient,Back Result Downloaded,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ExpandableListView android.widget.Button android.widget.TextView
13,StudentList,Guardian Mobile = Guardian Name = Father Name = Student = Roll No = Back,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.CheckBox android.widget.Button
14,ResultList,Result = GuardianName= FatherName= Student = Roll No = Back,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.CheckBox android.widget.Button
