id,label,text,view
0,SignInActivity,Close Back,android.widget.RelativeLayout android.view.View com.sunsuper.ui.widgets.NoSwipeViewPager android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
1,WebViewActivity,Reload Forward Back Close,android.widget.RelativeLayout android.webkit.WebView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView
2,SplashActivity,Loading Sun Super,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.ImageView
3,SignInPinActivity,Close Edit text Enter your PIN Call us Need help signing in?,android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.ImageView com.sunsuper.ui.widgets.PinView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.view.View com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView
4,SignInPasswordActivity,Close Password Need help? Password Call us Need help signing in? Sign in,android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.ImageView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomEditText android.widget.LinearLayout android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.view.View com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomButton com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView
5,BaseActivity,null,null
6,TouchEnableInputActivity,NOT NOW ENABLE FINGERPRINT SIGN IN Remember if someone else has saved their fingerprint on this device they'll have access to this app. Enable fingerprint sign in and login quickly and conveniently with your fingerprint. Setup fingerprint sign in Back,android.widget.LinearLayout android.widget.LinearLayout com.sunsuper.ui.widgets.CustomButton com.sunsuper.ui.widgets.CustomButton android.widget.RelativeLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView android.widget.ImageView
7,DashboardActivity,More Profile Contact Balance,android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ToggleButton android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ToggleButton android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ToggleButton android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ToggleButton com.github.clans.fab.FloatingActionButton com.sunsuper.ui.widgets.NoSwipeViewPager
8,VerifyContactDetailActivity,This needs an update YES LOOKS CORRECT Home number Daytime number Mobile number Email address Please check your details are correct. You can edit them if required. Hello Back,android.widget.RelativeLayout android.widget.RelativeLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomButton android.widget.ScrollView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView
9,UpdateContactDetailActivity,Your email address does not appear to be valid. Please provide your email address. details Update your Done Cancel,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.sunsuper.ui.widgets.LabeledEditText com.sunsuper.ui.widgets.LabeledEditText com.sunsuper.ui.widgets.LabeledEditText com.sunsuper.ui.widgets.LabeledEditText com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.RelativeLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView
10,SettingPinActivity,Cancel Edit text Re Enter your PIN Re-enter your PIN Edit text Enter your PIN Enter your PIN Setting up a PIN will allow you to sign in fast & conveniently. You can manage your PIN in settings. PIN Setup your Not now Back,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.PinView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.PinView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView
11,SignInErrorActivity,Back,android.widget.RelativeLayout android.widget.RelativeLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomButton com.sunsuper.ui.widgets.CustomTextView android.widget.LinearLayout com.sunsuper.ui.widgets.CustomTextView com.sunsuper.ui.widgets.CustomTextView android.widget.ImageView android.widget.ImageView
