id,label,text,view
0,MainActivity,Buraya Tıklayınız,android.widget.RelativeLayout android.widget.Button
1,Liste,12.ZEYNEBİM 11.TUTAM YAR ELİNDEN 10.SUZAN SUZİ 9.MİNNET EYLEMEM 8.GİTME TURNAM 7.DERDİM ÇOKTUR 6.BAHÇALARDA MOR MENİ 5.ERVAHI EZELDEN 4.KİRPİĞİN KAŞINA 3.AÇMA ZÜLÜFLERİN 2.GAFİL GEZME ŞAŞKIN 1.YAZIMI KIŞA ÇEVİRDİN,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
2,Onbir,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Tutam Yar Elinden,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
3,Yedi,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Derdim Çoktur,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
4,Iki,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Gafil Gezme Şaşkın,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
5,Dort,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Kirpiğin Kaşına,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
6,Bir,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Yazımı Kışa Çevirdin,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
7,Sekiz,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Gitme Turnam,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
8,Bes,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Ervahı Ezelden,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
9,Oniki,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Zeynebim,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
10,On,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Suzan Suzi,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
11,Uc,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Açma Zülüflerin,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
12,Dokuz,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Minnet Eylemem,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
13,Alti,İleri Geri Alma İçin Notaya Dokunun Çalıyor: Bahçalarda Mor Meni,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button com.startapp.android.publish.ads.banner.Banner android.widget.Button android.widget.VideoView android.widget.TextView
14,OverlayActivity,Loading...,android.widget.RelativeLayout com.startapp.android.publish.inappbrowser.AnimatingProgressBar com.startapp.android.publish.inappbrowser.b android.widget.ImageView android.widget.RelativeLayout android.widget.TextView
15,AppWallActivity,null,null
16,List3DActivity,StartApp Ad info x x Powered By Download,android.widget.RelativeLayout com.startapp.android.publish.adsCommon.adinformation.d android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.startapp.android.publish.ads.list3d.c android.widget.RelativeLayout com.startapp.android.publish.a.b android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.view.View
17,FullScreenActivity,Loading...,android.widget.RelativeLayout com.startapp.android.publish.inappbrowser.AnimatingProgressBar com.startapp.android.publish.inappbrowser.b android.widget.ImageView android.widget.RelativeLayout android.widget.TextView
