id,label,text,view
0,SplashActivity,null,android.widget.ImageView
1,Home,Show Alert Box,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.LinearLayout android.widget.ImageView
2,Category,Show Alert Box category,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
3,EnglishCategoryActivity,English Love SMS,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
4,EnglishSadSSMS,English Sad SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
5,EnglishLoveActivity,English Love SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
6,EnglishNightActivity,English Night SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
7,EnglishMorningActivity,English Morning SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
8,EnglishFriendActivity,English Friend SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
9,EnglishRomanticActivity,English Romantic SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
10,EnglishMissyouSMS,English Miss_You SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
11,EnglishSorryActivity,English Sorry SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
12,EnglishHindiSMSActivity,Hindi SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
13,EnglishValentineActivity,English Valentine SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
14,EnglishKissActivity,English Kiss SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
15,EnglishCuteActivity,English Cute SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
16,EnglishStatuswhatsaActivity,English Status Whatsapp,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
17,DisplayEnglishActivity,null,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v4.view.ViewPager android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
18,HindiCategory,Hindi Love SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
19,HindiFunnyActivity,Hindi Funny SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
20,HindiRomanticActivity,Hindi Romantic SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
21,HindiBewafaActivity,Hindi Bewafa SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
22,HindiProposeActivity,Hindi Propose SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
23,HindiSadActivity,Hindi Sad SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
24,HindiFndActivity,Hindi Fnd SMS,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
25,HindiLoveActivity,English Status Whatsapp,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView
