id,label,text,view
0,MainActivity,Past Winner Venues Teams & Squad Fixture Live Score,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView
1,B3,Kings XI Punjab Delhi Daredevils Royal Challengers Bangalore Sunrisers Hyderabad Rajasthan Royals Kolkata Knight Riders Chennai Super Kings Mumbai Indians IPL 2018 Teams & Squad,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView
2,B5,RPS MI won1 runs Mumbai 2017 RCB SRH won8 runs Hyderabad 2016 CSK MI won41 runs Mumbai Indians 2015 KXIP KKR won3 Wicket Kolkata 2014 CSK MI won23 runs Mumbai 2013 CSK KKR won5 Wicket Kolkata 2012 RCB CSK won58 runs Chennai 2011 MI CSK won22 runs Chennai 2010 RCB DC won6 runs Deccan 2009 CSK RR won3 Wicket Rajasthan 2008 Runnerup result Winner Year IPL Winner 2008 to 2017,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button
3,B1,null,android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.webkit.WebView
4,B2,Date: 21 May2018Time: 8pm IST8:30pm BDTVenue: Bengaluru Final VIVO IPL 2018 Match No- 60 Date: 19 May2018Time: 8pm IST8:30pm BDTVenue: Mumbai TBC Vs TBCQualifier 2 Match No- 59 Date: 17 May2018Time: 8pm IST8:30pm BDTVenue: Kolkata TBC Vs TBC Eliminator Match No- 58 Date: 16 May2018Time: 8pm IST8:30pm BDTVenue: Chennai TBC Vs TBCQualifier 1 Match No- 57 Date: 14 May2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Bangalore Match No- 56 Date: 14 May2018Time: 4pm IST4:30pm BDTVenue: Chennai Chennai Vs Punjab Match No- 55 Date: 13 May2018Time: 8pm IST8:30pm BDTVenue: Kolkata Kolkata Vs Mumbai Match No- 54 Date: 13 May2018Time: 4pm IST4:30pm BDTVenue: Jaipur Rajasthan Vs Hyderabad Match No- 53 Date: 12 May2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Chennai Match No- 52 Date: 11 May2018Time: 8pm IST8:30pm BDTVenue: Mumbai Mumbai Vs Punjab Match No- 51 Date: 10 May2018Time: 8pm IST8:30pm BDTVenue: Jaipur Rajasthan Vs Delhi Match No- 50 Date: 9 May2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Kolkata Match No- 49 Date: 8 May2018Time: 8pm IST8:30pm BDTVenue: Hyderabad Hyderabad Vs Mumbai Match No- 48 Date: 7 May2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Rajasthan Match No- 47 Date: 7 May2018Time: 4pm IST4:30pm BDTVenue: Bengaluru Bangalore Vs Kolkata Match No- 46 Date: 6 May2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Mumbai Match No- 45 Date: 6 May2018Time: 4pm IST4:30pm BDTVenue: Hyderabad Hyderabad Vs Chennai Match No- 44 Date: 5 May2018Time: 8pm IST8:30pm BDTVenue: Bengaluru Bangalore Vs Punjab Match No- 43 Date: 4 May2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Rajasthan Match No- 42 Date: 3 May2018Time: 8pm IST8:30pm BDTVenue: Kolkata Kolkata Vs Chennai Match No- 41 Date: 2 May2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Hyderabad Match No- 40 Date: 1 May2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Bangalore Match No- 39 Date: 1 May2018Time: 8pm IST8:30pm BDTVenue: Chennai Chennai Vs Rajasthan Match No- 38 Date: 30 April2018Time: 8pm IST8:30pm BDTVenue: Hyderabad Hyderabad Vs Kolkata Match No- 37 Date: 30 April2018Time: 4pm IST4:30pm BDTVenue: Mohali Punjab Vs Delhi Match No- 36 Date: 29 April2018Time: 8pm IST8:30pm BDTVenue: Jaipur Rajasthan Vs Mumbai Match No- 35 Date: 29 April2018Time: 4pm IST4:30pm BDTVenue: Chennai Chennai Vs Bangalore Match No- 34 Date: 28 April2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Hyderabad Match No- 33 Date: 28 April2018Time: 4pm IST4:30pm BDTVenue: Kolkata Kolkata Vs Delhi Match No- 32 Date: 27 April2018Time: 8pm IST8:30pm BDTVenue: Bengaluru Bangalore Vs Rajasthan Match No- 31 Date: 26 April2018Time: 8pm IST8:30pm BDTVenue: Chennai Chennai Vs Kolkata Match No- 30 Date: 25 April2018Time: 8pm IST8:30pm BDTVenue: Bengaluru Bangalore Vs Hyderabad Match No- 29 Date: 24 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Mumbai Vs Punjab Match No- 28 Date: 23 April2018Time: 8pm IST8:30pm BDTVenue: Kolkata Kolkata Vs Bangalore Match No- 27 Date: 23 April2018Time: 4pm IST4:30pm BDTVenue: Jaipur Rajasthan Vs Punjab Match No- 26 Date: 22 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Mumbai Vs Bangalore Match No- 25 Date: 22 April2018Time: 4pm IST4:30pm BDTVenue: Chennai Chennai Vs Hyderabad Match No- 24 Date: 21 April2018Time: 8pm IST8:30pm BDTVenue: Kolkata Kolkata Vs Rajasthan Match No- 23 Date: 20 April2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Mumbai Match No- 22 Date: 19 April2018Time: 8pm IST8:30pm BDTVenue: Hyderabad Hyderabad Vs Delhi Match No- 21 Date: 18 April2018Time: 8pm IST8:30pm BDTVenue: Jaipur Rajasthan Vs Bangalore Match No- 20 Date: 17 April2018Time: 8pm IST8:30pm BDTVenue: Hyderabad Hyderabad Vs Punjab Match No- 19 Date: 17 April2018Time: 4pm IST4:30pm BDTVenue: Delhi Delhi Vs Kolkata Match No- 18 Date: 16 April2018Time: 8pm IST8:30pm BDTVenue: Bengaluru Bangalore Vs Chennai Match No- 17 Date: 16 April2018Time: 4pm IST4:30pm BDTVenue: Mumbai Mumbai Vs Kolkata Match No- 16 Date: 15 April2018Time: 8pm IST8:30pm BDTVenue: Delhi Delhi Vs Punjab Match No- 15 Date: 15 April2018Time: 4pm IST4:30pm BDTVenue: Kolkata Kolkata Vs Hyderabad Match No- 14 Date: 14 April2018Time: 8pm IST8:30pm BDTVenue: Jaipur Rajasthan Vs Chennai Match No- 13 Date: 14 April2018Time: 4pm IST4:30pm BDTVenue: Mumbai Mumbai Vs Hyderabad Match No- 12 Date: 13 April2018Time: 8pm IST8:30pm BDTVenue: Kolkata Kolkata Vs Punjab Match No- 11 Date: 12 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Mumbai Vs Delhi Match No- 10 Date: 11 April2018Time: 8pm IST8:30pm BDTVenue: Mohali Punjab Vs Kolkata Match No- 9 Date: 10 April2018Time: 8pm IST8:30pm BDTVenue: Jaipur Rajasthan Vs Bangalore Match No- 8 Date: 9 April2018Time: 8pm IST8:30pm BDTVenue: Hyderabad Hyderabad Vs Punjab Match No- 7 Date: 9 April2018Time: 4pm IST4:30pm BDTVenue: Kolkata Kolkata Vs Delhi Match No- 6 Date: 8 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Mumbai Vs Rajasthan Match No- 5 Date: 8 April2018Time: 4pm IST4:30pm BDTVenue: Mohali Punjab Vs Delhi Match No- 4 Date: 7 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Hyderabad Vs Bangalore Match No- 3 Date: 6 April2018Time: 8pm IST8:30pm BDTVenue: Mumbai Rajasthan Vs Kolkata Match No- 2 Date: 5 April2018Time: 8pm IST8:30pm BDTVenue: Jaipur Mumbai Vs Chennai Match No- 1 2018 IPL Schedule,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,B4,Victoria Hostel RdChepaukChennaiTamil Nadu 600005India Address 38000 Capacity 9. Chennai- M. A. Chidambaram Stadium Jan PathJaipur Nagar NigamJaipurRajasthan 302016India Address 23185 Capacity 8. Jaipur- Sawai Man Singh Stadium Jawaharlal Nehru MargDelhi 110002India Address 41820 Capacity 7. Delhi- Feroz Shah Kotla Stadium Sector 63Sahibzada Ajit Singh NagarMohaliChandigarh 160059India Address 30000 Capacity 6. Mohali- Punjab Cricket Association Stadium D Rd ChurchgateMumbai Maharashtra 400020 India Address 45000 Capacity 5. Mumbai- Wankhede Stadium Pune Maharashtra 412101 India Address 36000 Capacity 4. Rajasthan- Sawai Mansingh Stadium Uppal Stadium RoadUppalHyderabadTelangana 500007 India Address 55000 Capacity 3. Hyderabad- Rajiv Gandhi International Stadium MG Road Near Gandhi ParkNear Anil Kumble CircleBengaluru Karnataka 560001India Address 40000 Capacity 2. Bangalore- M.Chinnaswamy Stadium B B D Bagh KolkataWest Bengal 700021 Address 90000 Capacity 1. Kolkata- Eden Gardens,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView
6,About,Developed by Top Apps BDVersion: 1.1 IPL Schedule 2018,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
7,B13,* ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ Foreign Player * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * Axar Patel - 6.75 Crs Player Retention List Kings XI Punjab,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
8,B12,* ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * Chris Morris - 7.1 Crs Foreign Player * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * Shreyas Iyer - 7 Crs * Rishabh Pant - 8 Crs Player Retention List Delhi Daredevils,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
9,B8,* ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * Andre Russell - 7 Crs * Sunil Narine - 8.5 Crs Foreign Player * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ * ........................ Player Retention List Kolkata Knight Riders,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
