id,label,text,view
0,SplashActivity,TrademarKing.in,android.widget.RelativeLayout android.widget.ImageView
1,RegisterUserActivity,Register Please enter a valid email id! Phone number should be 10 or more digits! +91 Please enter a name! TrademarKing.in,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.AutoCompleteTextView android.widget.EditText android.widget.ImageView
2,StartActivity,TrademarKing.in More Business Apps About Us Ask Question Pricing Knowledge Base TM Status Search TM,android.widget.ScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
3,WebViewActivity,null,android.widget.RelativeLayout android.webkit.WebView
4,FullDetailsActivity,Detail Title TrademarKing.in Detail Title TrademarKing.in,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView
5,SearchTMActivity,Search Contains Starts With Search Option: Select Industry Type Ex: Light Beverages Please enter atleast 3 characters! Enter search term etc,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.RelativeLayout android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.TextView
6,ShowPriceActivity,TextView TextView TrademarKing.in,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView
7,SearchDetailsActivity,TrademarKing.in User Date: 02/02/2012 No.: 800416 Class: Registered THE GLASS HOUSE ON THE GANGES (DEVICE) applied by NEEMRANA HOTELS (P) LTD. CHANDIGARH on 29/04/1998,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView
8,RegisterTMActivity,₹ Total: ₹₹₹ Govt. Fees:Our Fees:Discount: Register Congratulations ! Your Trademark is Available. Congratulations ! Your Trademark is Available. TrademarKing.in,android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.TextView android.widget.TextView android.widget.ImageView
9,StatusExplainedActivity,Detail Title TrademarKing.in,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView
10,VerifyCodeActivity,Verify Enter Code Verify Code,android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView
