id,label,text,view
0,MainActivity,C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton
1,VIEW,null,null
2,Theme,C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
3,Politique,KO: sur %soit C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton
4,Resultats,Félicitation vous avez la médaille d'argent! points Vous avez obtenu 2 étoiles Entrez votre prénom cliquez sur + C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton
5,Sport,C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math soit %sur KO:,android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
6,Score,Astuces Code de la Route : Coup de coeur: Mes préférés : TV Cinéma: Spécial Vacances : Anglais : Actualités : Maths : Sport : C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton
7,Score2,C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math Code de la Route : Coup de coeur : Mes préférés : TV Cinéma: Spécial Vacances : Anglais : Actualités : Maths : Sport : Prénom,android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText
8,Histoire,%soit sur KO: C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton
9,Litterature,C'est aussi un quiz sur ParisC'est aussi un quiz sur l'anglaisC'est un quiz sympaC'est aussi un quiz sur l'actualitéC'est un quiz sur mes préférésC'est aussi un quiz sur la Cote d'IvoireC'est aussi un quiz sur le "Tour de France"C'est un quiz sur les voyagesBienvenueC'est aussi un quiz sur le MultimédiaC'est aussi un quiz surSvt Physique ou math %sur KO: soit,android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.Button android.widget.TextView com.google.android.gms.ads.AdView
