id,label,text,view
0,SplashScreen,null,android.widget.LinearLayout android.widget.ImageView
1,MessageListDetailsActivity,Send Reply Message,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
2,ListofMessagesActivity,Messages List,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
3,DashBoardActivity,3 sample Text Message sample Text Message Message Image Studies,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView android.support.v7.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
4,LoginActivity,Forgot Password ? | Register Now Login,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView
5,ForgotPassword,Submit Cancel Please enter your username or email address. You will receive a link to create a new password via email. Forgot Password,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.support.v7.widget.Toolbar android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
6,RegistrationActivity,Create Cancel Register Now,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.support.v7.widget.Toolbar android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
7,a,null,null
8,WomenLossWeightActivity,Send Reply 11:42 am Q1. How much weight would you like to lose ? JULY 9 2017 Messages List,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
9,LossWeightActivity,04:07 PM Image Messages List,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
