id,label,text,view
0,MainActivity,TODO TODO TODO TODO TODO,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView
1,Main2Activity,TODO TODO TODO Select RC Communication Method,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
2,SplashScreenActivity,TODO,android.support.constraint.ConstraintLayout android.widget.ImageView
3,Main3Activity,TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
4,Main6Activity,Connecting To Drone Via GPS Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
5,Main4Activity,TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
6,Main7Activity,Connecting To Drone Via WIFI Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
7,Main5Activity,TODO TODO TODO TODO TODO TODO TODO TODO TODO Select Drone Brand,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView
8,Main8Activity,Connecting To Drone Via Bluetooth Method Please Wait,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView
9,GpsMain7Activity,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
10,GbsRcActivity,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
11,RaitingActivity,TODO If you like this prank app Please rate it with 5 stars to support us making it better in the near future Thank You,android.widget.LinearLayout android.widget.ImageButton android.widget.TextView
12,WifiMain8Activity,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
13,WifiRcActivity,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
14,BluetoothMain9Activity,TODO TODO Connection To Drone Has Been Setup Successfully,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageButton android.widget.ImageView android.widget.TextView
15,BluetoothRcActivity,TODO TODO,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView
