id,label,text,view
0,EqualizerPlayer,00:00 00:00 VOL 16k 4k 1k 500 100 3D BASS Custom Plate L Hall M Hall L Room M Room S Room EQ Music Player EQ Music Player EQ Music Player Touch to choose music. VIDEOS EQ Music Player FOLDERS EQ Music Player ALBUMS EQ Music Player ARTISTS EQ Music Player PLAYLISTS EQ Music Player TRACKS EQ Music Player EQ Music Player EQ Music Player EQ Music Player,android.widget.RelativeLayout android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView com.sothree.slidinguppanel.SlidingUpPanelLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView com.nimblesoft.equalizerplayer.RepeatingImageView android.widget.ImageView com.nimblesoft.equalizerplayer.RepeatingImageView android.widget.ImageView com.nimblesoft.equalizerplayer.view.SlideView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.ImageView android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.ImageView android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.MySeekBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.SeekBar android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.nimblesoft.equalizerplayer.visualizer.VisualizerView com.nimblesoft.equalizerplayer.view.AlbumView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout es.claucookie.miniequalizerlibrary.EqualizerView android.widget.LinearLayout android.view.View android.view.View android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout com.nimblesoft.equalizerplayer.view.SlideView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView
1,VisualizerActivity,_ _,android.widget.RelativeLayout net.coocent.tool.visualizer.SimpleVisualizerJni net.coocent.tool.visualizer.SimpleVisualizerJni net.coocent.tool.visualizer.OpenGLVisualizerJni net.coocent.tool.visualizer.OpenGLVisualizerJni net.coocent.tool.visualizer.SimpleVisualizerJni net.coocent.tool.visualizer.SimpleVisualizerJni net.coocent.tool.visualizer.OpenGLVisualizerJni net.coocent.tool.visualizer.OpenGLVisualizerJni android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView net.coocent.tool.visualizer.ui.BgButton net.coocent.tool.visualizer.ui.BgButton android.widget.RelativeLayout android.widget.ImageView
2,PreferencesActivity,Settings,android.widget.LinearLayout com.nimblesoft.equalizerplayer.view.SlideView_settings android.widget.ListView android.widget.LinearLayout android.widget.TextView
3,CreatePlaylist,Cancel Save New playlist %d Playlist name,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.TextView
4,DeleteItems,Cancel OK Preset name exist! Delete,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView
5,AudioPreview,null,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ProgressBar
6,ArtistAlbumBrowserActivity,No songs An error was encountered on your SD card. EQ Music Player ARTISTS EQ Music Player,android.widget.LinearLayout android.widget.ExpandableListView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
7,ScanningProgress,Scanning SD card… Scanning USB storage…,android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar
8,FolderBrowserActivity,No songs Your phone doesn't have an SD card inserted. EQ Music Player FOLDERS EQ Music Player,android.widget.LinearLayout com.nimblesoft.equalizerplayer.TouchInterceptor android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,FolderTrackBrowserActivity,No songs Your phone doesn't have an SD card inserted. EQ Music Player EQ Music Player EQ Music Player,android.widget.LinearLayout com.nimblesoft.equalizerplayer.TouchInterceptor android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
