id,label,text,view
0,MainMenu,Please Wait While App loads... EshailSat frequency channels,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView
1,First_Page_Main,More Apps NileSat Frequency Channels App EshailSat frequency channels EshailSat frequency channels,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
2,Data_TV_Radio,SD/clear Status QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MBC2,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,Data_TV_Group,SD/clear Status QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MBC2,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
4,MainActivity,null,android.widget.RelativeLayout android.support.design.widget.CoordinatorLayout android.support.v4.view.ViewPager android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout android.support.v7.widget.Toolbar
5,Beam_E7,Ka Band MENA Ku Band MENA Ku Band East Eutelsat25B/Eshail 1 For more informations on following Satellites please install The SATELLITE INFO App,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.TextView
6,Search_TV,null,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
7,Search_Freq,Frequency not exist,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
8,Data_Radio,QPSK Modulation DVB-S System 2/3 FEC 27500 Symbol Rate H Polarisation 11200 Frequency(Mhz) MFM,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
9,MainMenu1,Please Wait little...,android.widget.RelativeLayout android.widget.TextView
10,More_Apps,Astra Frequency Channels ********************** TurkSat Frequency Channels ********************** SATELLITE INFO More Apps,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView
11,MainMenu2,Please Wait little...,android.widget.RelativeLayout android.widget.TextView
12,MainMenu3,Please Wait little...,android.widget.RelativeLayout android.widget.TextView
13,MAIN,null,null
14,Search_Radio,Channel not exist,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
