id,label,text,view
0,MainMenu,App loads Please Wait...,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,First_Page_Main,More Apps Astra Frequency Channels App SATELLITE INFO SATELLITE INFO,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
2,SatCaracteristic,satellite name detail More satellite BEAM detail Beam THALES Manufacturer Galiana Launch Vehicle Galiana Launch Site 06-2005 Launch Date intelsat Operator 15 years Expected Life 12300 Beacon 20 Ku Transponder Active Status Satellite Name,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,SatCaracteristicAmerica,satellite name detail More satellite BEAM detail Beam THALES Manufacturer Galiana Launch Vehicle Galiana Launch Site 06-2005 Launch Date intelsat Operator 15 years Expected Life 12300 Beacon 20 Ku Transponder Active Status Satellite Name,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
4,SatCaracteristicAtlantic,satellite name detail More satellite BEAM detail Beam THALES Manufacturer Galiana Launch Vehicle Galiana Launch Site 06-2005 Launch Date intelsat Operator 15 years Expected Life 12300 Beacon 20 Ku Transponder Active Status Satellite Name,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,SatCaracteristicAsia,satellite name detail More satellite BEAM detail Beam THALES Manufacturer Galiana Launch Vehicle Galiana Launch Site 06-2005 Launch Date intelsat Operator 15 years Expected Life 12300 Beacon 20 Ku Transponder Active Status Satellite Name,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
6,MainActivity,null,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.support.v4.widget.DrawerLayout android.support.design.widget.CoordinatorLayout android.support.v4.view.ViewPager android.support.design.widget.AppBarLayout android.support.design.widget.TabLayout android.support.v7.widget.Toolbar
7,SearchSat,Satellite Name Not exist,android.widget.RelativeLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.SearchView
8,About,�kSATELLITE INFO is a comprehensive information app which gives you detailed information on satellite inc Rate This App TurkSat Frequency Channels Astra 28°E Frequency Channels,android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
9,MainMenu1,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
10,More_Apps,HotBird Frequency Channels ********************** TurkSat Frequency Channels ********************** Astra 28°E Frequency Channels More Apps,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView
11,MAIN,null,null
12,MainMenu2,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
13,MainMenu3,Please Wait Little...,android.widget.RelativeLayout android.widget.TextView
