id,label,text,view
0,BehaviorRules,Volume Play Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider Slider,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageButton android.view.View android.widget.SeekBar android.view.View android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.view.View android.support.v4.view.ViewPager
1,MainActivity,Volume Play Audio Information Settings Audio Information App-Info Audio Information Behavior Rules Audio Information Help and Contact Audio Information News Audio Information Map,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageButton android.view.View android.widget.SeekBar android.view.View android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.Button
2,HelpContact,Medical Emergency,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
3,CALL,null,null
4,Map,Publish list time date 00:00,android.widget.FrameLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.SeekBar
5,Settings,no appId Retrieve Register Language Use Bluetooth Stop Application,android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.Button
6,Register,Register Accreditation number (optional) chamber of commerce Doctor number E-Mail First Name Name �For th,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
7,SplashScreen,Welcome to EBOLAPP,android.widget.RelativeLayout android.widget.ImageView
8,Disclaimer,Volume Play Audio Information I agree Do not show this message again at the next start. Disclaimer Disclaimer Audio Information,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageButton android.view.View android.widget.SeekBar android.view.View android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.CheckBox android.view.View android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
9,TextPage,Volume Play I agree Disclaimer Audio Information,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageButton android.view.View android.widget.SeekBar android.view.View android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.view.View android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
10,AppInfo,Supporters Privacy Terms of Use FAQ Disclaimer About EBOLAPP,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
11,MainMap,< 5 5-15 > 15 Erkrankungen in den letzten 3 Monaten,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
12,TrackingList,%02d: %02d--%02d,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView
