id,label,text,view
0,LoginActivity,Registrate Aqui Iniciar Sesión Contraseña Usuario / Identificación,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.Button android.widget.EditText android.widget.EditText android.widget.ImageView android.widget.ImageView
1,RegistroUser,Una vez creada la cuenta podrá ver sus trámites! Registrar Usuario Teléfono Celular: Teléfono Fijo: Intersección: Calle: Ciudad: Cantón: Provincia: Nacionalidad: Primer Nombre: Primer Apellido: E-mail: Identificación: Tipo de Identificación: REGISTRO DE USUARIO,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
2,MenuPrincipal,null,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
3,MenuSocietario,MENÚ SOCIETARIO,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
4,MenuValores,MENÚ MERCADO DE VALORES,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
5,MenuSeguros,MENÚ SEGUROS,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
6,MenuConstitucion,MENÚ CONSTITUCIÓN ELECTRÓNICA,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
7,busquedaCia,Buscar Nombre Identificación Expediente CONSULTA DE COMPAÑÍAS,android.widget.LinearLayout android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView
8,busquedaPersona,Buscar Nombre Identificación CONSULTA DE PERSONAS,android.widget.LinearLayout android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView
9,busquedaDenominaciones,Buscar Compuesta Proporcional Total CONSULTA DE DENOMINACIONES,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView
10,mistramites,Nº Sr. CONSULTA MIS TRÁMITES,android.widget.LinearLayout android.widget.TableLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.view.View android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView
11,generalCia,CONSULTA DE COMPAÑÍAS,android.widget.LinearLayout android.widget.TableLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView
