id,label,text,view
0,splash,PACT Data Manager v2.0.11,android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.Space
1,LoginActivity,Sign In/Register This field is required,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.AutoCompleteTextView android.widget.ProgressBar
2,DashboardActivity,null,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton
3,SwagaaDashboardActivity,Edit more ... Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Abused Client's List,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
4,AdminActivity,View Data in Device Clear Tablet Data Reset Users Administrator Functions...,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Space android.widget.Button android.widget.Space android.widget.Button android.widget.Space android.widget.Button android.widget.TextView
5,VehicleLogDashboardActivity,Vehicle Vehicle Vehicle Vehicle Vehicle Vehicle Edit Vehicle Logs,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView
6,DataSyncActivity,Below is the summary of records in this device: Synchronize Data Upload Data to the Database Download User Accounts only from Database Download Data from Database Select items to Sync with the Main Server:,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.Space android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.TextView
7,VMMCDashboardActivity,Edit more ... ... ... ... ... ... ... ... ... VMMCs,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TextView android.widget.TextView android.widget.Button android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
8,EmpWorkMonRepDashboardActivity,Edit Record Edit Record Edit Record Edit Record Edit Record Edit more ... Empowerment Worker Monthly Reports,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView
9,SessionsDashboardActivity,Edit more ... Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Sessions,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,SiteSupervisionDashboardActivity,# # # # # # # more ... Edit Mentorship Visits,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView
11,Preferences,null,android.view.ViewGroup
12,EnrollmentAssementDashboard,view... Edit Surname Surname Surname Surname Surname Surname Surname Surname Caregiver List...,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.ImageButton android.widget.TextView
13,OVCServicesDashboardActivity,more ... ... ... ... ... ... View All... Home Visitor List...,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Button android.widget.ImageButton android.widget.TextView
14,ClientsActivity,Edit more ... Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record Edit Record View All... for,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.Button android.widget.ImageButton android.widget.TextView
15,ClientsOneActivity,Next Previous Umphakatsi: Inkhundla: Sex: Phone Number: Date of birth: Surname: Name: National ID: Adolescent Demographic Information,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Space android.widget.Spinner android.widget.TextView android.widget.Spinner android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.TextView android.widget.EditText android.widget.TextView android.widget.DatePicker android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView
16,AssessmentDashboardActivity,Edit # # # # -,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
17,AssessmentNewDashboardActivity,Edit Edit Record Edit Record Edit Record Edit Record -,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
18,ClubMembershipDashboardActivity,Edit # # # # -,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.Button android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
19,AttendenceRegisterDashboardActivity,Attended? Attended? Attended? Attended? Attended? Attended? Edit Sessions,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView
20,ReferralsDashboardActivity,Edit Date Date Date Date Date Date -,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.Button android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
21,ServicesDashboardActivity,# Edit Edit # Date Date Date Date Date Date -,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.Button android.widget.TableRow android.widget.Button android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
22,ReAssessmentActivity,Download... Unique ID of Adolescent to download from Server... Enter Unique ID of Individual to be Re-Assessed:,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Space android.widget.EditText android.widget.TextView
23,ServiceTrackerDownloadActivity,Download... Click download button below to Download Home Visitor Data:,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Space android.widget.TextView
