id,label,text,view
0,MainActivity,Palaisang Larawan Palaisang Larawan Imaheng Pagsusulit Hulaan Ang Tunog Laruin,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton info.hoang8f.widget.FButton android.widget.LinearLayout android.widget.ImageView com.github.glomadrian.grav.GravView com.github.glomadrian.grav.GravView
1,SENDTO,null,null
2,Category,Mga Bansa Alpabetong Filipino Mga Sagisag Babasahing Pambata Mga Bayaning Filipino Mga Tunog ng Hayop Mga Buwan Mga Araw Mga Kulay Mga Prutas Mga Hayop Mga Hugis Mga Numero Mga Titik ng may tunog,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView com.github.glomadrian.grav.GravView
3,ImpressumActivity,��1. Upang magamit ang app sa tamang paggamit.2. Makakuha ng kaalaman ang mga bata nang dahil sa app na ito.3. Laruing masaya at makabuluhan ang sa tul Mga Layung Ng App na ito Polisiya at Prebilihiyo Level,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton com.github.glomadrian.grav.GravView
4,Numero,Image Des Image Des Image Des Mga Numero Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
5,TunogNgHayop,Image Des Image Des Image Des Mga Tunog Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
6,Hugis,Image Des Image Des Image Des Mga Hugis Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
7,Buwan,Image Des Image Des Image Des Mga Buwan Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
8,Bansa,Image Des Image Des Image Des Mga Bansa Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
9,Capital,Image Des Image Des Image Des Alpabetong Filipinong May Tunog Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
10,MgaBayani,Image Des Image Des Image Des Mga Dakilang Bayani Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
11,Araw,Image Des Image Des Image Des Mga Araw Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
12,sagisag,Image Des Image Des Image Des Mga Sagisag Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
13,Hayop,Image Des Image Des Image Des Mga Hayop Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
14,Kulay,Image Des Image Des Image Des Mga Kulay Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
15,babasahin,Image Des Image Des Image Des Mga Babasahing Pambata Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
16,Small,Image Des Image Des Image Des Alpabetong Filipino Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
17,Prutas,Image Des Image Des Image Des Mga Prutas Image Des,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.view.ViewPager com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.github.glomadrian.grav.GravView
18,EarnCoinActivity,Share Application-50 Coins Visit Website-20 Coins More Application-25 Coins Rate Us Subscribe Youtuube-25 Coins Follow on Twitter-25 Coins Like on Facebook-10 Coins Kids Learning App in Filipino 0 Earn Coin,android.widget.RelativeLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.Button
19,TheGame,A A A A A A A A A A A A 0,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button com.github.glomadrian.grav.GravView
20,SettingsActivity,Impressum Reset Game Share Vibration off Sound Effects on SETTINGS Level,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton com.github.glomadrian.grav.GravView
