id,label,text,view
0,SplashActivity,null,android.widget.RelativeLayout
1,LoginActivity,Forgot Password? Sign Up Login Password Mobile no,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.ImageView
2,Home,phone name,android.support.v4.widget.DrawerLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
3,MainActivity,Welcome To Vividhseva,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
4,SignupActivity,Register Confirm Password Password Mobile Email Id User Name,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.ImageView
5,Activity_Forgotpassword,SUBMIT Enter phone Enter Your Mobile no,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView
6,Activity_Verify_Phone,SUBMIT Enter OTP Large Text +91 Your Number,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
7,HomeActivity,I found a good reliable Service On Vividhseva.com Now I dont need to go anywhere !! SUBMIT What do you want you can find here ?,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Spinner android.widget.Spinner android.widget.TextView fragment.library.SliderLayout
8,Activity_Requirement,How urgent is your requirement?,android.widget.RelativeLayout android.widget.ExpandableListView android.widget.TextView android.widget.ImageView
9,Activity_UrgentRequirement,Submit Instructions address email phone name Select Date,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.Spinner android.widget.ImageView android.widget.LinearLayout android.widget.Spinner android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView
10,Activity_RequirementDetails,We will not contact you Just checking the site We will contact you within 7 working days Not so urgent requirement We will contact u as soon as possible Urgent requirement How urgent is your requirement?,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView
11,Activity_UrgentRequirement2,Submit Instructions Enter address email Enter Mobile no Enter name Select Date,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.Spinner android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView
