id,label,text,view
0,SplashScreen,Gloβol Gloβol,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
1,MainActivity,Choose your Language Language language,android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout
2,aboutus,Established in 2015 Aham Solutions (HK) Ltd aims to serve the community in different ways. The first project is implementing Apps to help the members of the community to improve their communicating capacity. Tamil Read Easy and Tamil Grammar Apps were developed to help a person to learn Tamil letters and words. Gloβol is the second venture in our endeavour. About Us,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton android.widget.TextView android.widget.ImageView
3,MAIN,null,null
4,donation,We are planning to expand this App in various ways and we need fund and human resources to achieve our aims. Your donations are much appreciated. Donation,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton android.widget.TextView android.widget.ImageView
5,aboutglobol,Other Languages: Indonesian Tagalog Korean Spanish Indian Languages: Malayalam Hindi Telugu Sanskrit Bengali Rajasthani We will be releasing words in the following languages one after the other. English Cantonese Putonghua Tamil Kannada Gloβol App will help any person to learn the basic words of different languages through their Native language. Gloβol is a venture that targets students tourists and language lovers. This project is purely a voluntary project involving various people of common interest. This starts with offering 500 words in following languages initially. About Gloβol,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.webkit.WebView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton android.widget.TextView android.widget.ImageView
6,wishlistfront,NO ITEMS FOUND IN WISHLIST Categories Wishlist,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ViewFlipper android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.GridView android.widget.ListView android.widget.ProgressBar android.widget.TextView android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ViewFlipper android.widget.ImageView android.support.v7.widget.RecyclerView
7,singlepage,Language language,android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout
8,itempage,Language language,android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.v4.widget.DrawerLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout
9,wishlist_page,Wishlist,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ViewFlipper android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ProgressBar android.support.v4.view.ViewPager android.widget.LinearLayout android.widget.ViewFlipper android.widget.ImageView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton android.widget.TextView android.widget.ImageView
