id,label,text,view
0,Splash,version 1.8,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,Login,Do not have an App Code? Get it Now! Login Enter your App Code,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView
2,Home,My Profile Home Topic-wise components MODULAR PATH Recommended learning sequence GUIDED PATH,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
3,Profile,My Profile Home country Country region_state Region/State city_town City/Town office_location Location others Others education Education experience Experience designation Designation college College yearofstudy Year Of Study studying Studying mobile Mobile dob Date of Birth gender Gender name MY PROFILE,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
4,CoursewareExpandable,My Profile Home MY SUBJECTS,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ExpandableListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
5,MyJourney,My Profile Home PERFORMANCE SCORE PS - PARTIALLY COMPLETED COMPLETED Status PS LR Titles LRs DLRS MODULAR PATH LRS MODULAR PATH 0 Completed DLRs 0 Uncompleted DLRs 0 Completed LRs 0 Uncompleted LRs,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout in.aestech.dm.util.EqualTriangleShapeView android.widget.TextView android.widget.RelativeLayout in.aestech.dm.util.EqualTriangleShapeView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
6,MyPerformance,My Profile Home Universal Percentile U% ile - Group Percentile G% ile - Percentage Score % - Maximum Score MS - Actual Score AS - U% ile G% ile % AS/MS Room U% ile G% ile % AS/MS Room Percentile Report,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
7,PathScreen,My Profile Home Modular Path Guided Path,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
8,ModuleWiseLr,My Profile Home Module-wise,android.widget.LinearLayout net.simonvt.menudrawer.BottomStaticDrawer android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
9,LearnerDetails,Module Id Module Room Id Learner Id LR Name View Component Details DETAILS,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView
