id,label,text,view
0,Activity_Splash,null,android.widget.RelativeLayout android.widget.ImageView
1,Activity_Detail,START Hindi Vyakaran Notes,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.ImageButton
2,Activity_StdClass,OK Thanks & Regard All care has been taken to our accuracy for this Notes App's however if any type of mistake in this Notes;s so for that we are not responsible for any legal and non legal action. Hindi Vyakaran Notes TODAY'S PAPER DISCUSS Home Page,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button com.google.android.gms.ads.AdView android.widget.LinearLayout android.support.v4.view.ViewPager com.android.viewpager.PagerSlidingTabStrip android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.view.View android.widget.ImageButton android.widget.Button android.widget.LinearLayout android.widget.ImageButton
3,Activity_OtherCourse,Hello Hello List of Other Course,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton
4,Activity_FeedBack,Submit Please Enter Description Please Enter Mobile Please Enter Email FEEDBACK,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton
5,Activity_ContactUs,+91-9352658329 Contact Number ladnunwala@gmail.com Email www.RSCIT.in Website Hindi Vyakaran Notes,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageButton
6,Activity_Question,RESULT RESULT D C B A D . C . B . A . Question,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.view.View android.widget.Button android.widget.Button android.view.View android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageButton
7,Activity_ResultChart,NEW TEST RESULT / Skip Skip Uncorrect False Correct True Chart Analysis,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout com.android.piechart.views.PieChartView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.ImageButton
8,Activity_ResultShow,Hello ✘ Hello ✘ Hello Hello ✔ / - Result,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.view.View android.widget.ImageButton android.widget.ImageButton android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageButton
9,Activity_ExamDetail,START EXAM Today's Tips You can end the test anytime by pressing the Result Button in the bottom. RESULT Do not close the app while taking the test you will lose all your progess. 10 Mins Max 25 Question 25 Marks,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Button android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.ImageButton
