id,label,text,view
0,MainActivity,Login Welcome,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView
1,ConfigurazioniActivity,null,android.view.ViewGroup
2,ListaActivity,Back Add Personal Info,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
3,ListaDettagliActivity,Back Add Details,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView
4,ListaCategoryActivity,Back Add Icons List,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView
5,AddPasswordActivity,Back Confirm Repeat Password Password,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.LinearLayout android.widget.ImageButton android.widget.EditText
6,Info,Privacy Policy Feedback Buy email: danieledaini@yahoo.it website: danysoftware.com Producted by Daini Daniele 1.1.41 Data Bank,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
7,SplashActivity,Wait please....,android.widget.LinearLayout android.widget.ProgressBar android.widget.TextView android.widget.ImageView
8,AppRater,Not Now Rate Now That's bad. Would you like to give us some feedback instead? Rate Data Bank,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RatingBar android.widget.TextView android.widget.TextView
9,LoginActivity,Back Confirm Send Email for Recovery Password Password,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.TextView
10,AddDocumentoActivity,Back Save Category Description Name,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView
11,AddCategoryActivity,Back Save Select Image Name,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView
12,AddDettaglioActivity,Back Save Type Value Name,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView
13,ValutazioniActivity,Back Enter FeedBack Type Email Address Questions or Suggestions,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.EditText android.widget.EditText
14,ImportExportActivity,Back Save Select Backup from List Db File Name,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.GridView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.ImageButton android.widget.TextView
15,IconeActivity,Images List,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
16,LinksActivity,Website Addresses,android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView
