id,label,text,view
0,SWBRootActivity,Folder editing Delete Edit,jp.co.plus.PashaboMTGSync.Top.SWBRootView android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.Button jp.co.plus.PashaboMTGSync.Top.SWBMinutesListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.Top.SWBMinutesDirectoryCell android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.ImageView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.Top.SWBMinutesDirectoryCell android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.ImageView
1,ImageAdjustActivity,Back Save,jp.createra.CaptureComponent.ImageAdjustView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.RelativeLayout jp.createra.CaptureComponent.ScalingViewURI jp.createra.CaptureComponent.ScalingViewUnique jp.createra.CaptureComponent.ImageTrimmingSurfaceView jp.createra.CaptureComponent.ImageTrimmingSurfaceView android.widget.FrameLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout
2,SWBImageCheckActivity,Board type Select Back,jp.co.plus.PashaboMTGSync.ImageCheck.SWBImageCheckView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.view.View jp.createra.CaptureComponent.ScalingViewURI android.widget.FrameLayout
3,SWBMinutesListActivity,Done Delete Move Share,jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListActivity$SWBMinutesListView android.widget.FrameLayout android.widget.FrameLayout android.view.View android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView android.widget.TextView jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListTableCell android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout jp.co.plus.PashaboMTGSync.MinutesList.SWBMinutesListListView$SWBMinutesListHeaderCell android.widget.FrameLayout android.widget.TextView
4,CameraActivity,Cancel Board type,jp.createra.Camera.CameraActivity$CameraMainView android.widget.FrameLayout jp.createra.Camera.CameraActivity$CameraSurfaceView jp.createra.Camera.CameraActivity$CameraSurfaceView android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout
5,SWBDirectoryEditorActivity,Cancel Create,jp.co.plus.PashaboMTGSync.DirectoryEditor.SWBDirectoryEditorView android.widget.RelativeLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout android.widget.EditText android.widget.RelativeLayout
6,SWBSearchMinutesActivity,Serch by Title Search Reset Back,jp.co.plus.PashaboMTGSync.SearchMinutes.SWBSearchMinutesActivity$SWBSearchMinutesView android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView
7,SWBWhiteBoardSelectActivity,Cancel,jp.co.plus.PashaboMTGSync.WhiteBoardSelect.SWBWhiteBoardSelectView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView jp.co.plus.PashaboMTGSync.WhiteBoardSelect.SWBWhiteBoardSelectListView android.widget.LinearLayout jp.co.plus.PashaboMTGSync.WhiteBoardSelect.SWBWhiteBoardSelectCell android.widget.RelativeLayout android.view.View android.view.View android.widget.ImageView android.widget.TextView android.widget.TextView
8,SWBSettingActivity,Done,jp.co.plus.PashaboMTGSync.Setting.c android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView
9,ImageAreaFixActivity,Back Select /,jp.createra.CaptureComponent.ImageAreaFixView android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.FrameLayout android.widget.FrameLayout jp.createra.CaptureComponent.ImageAreaFixContentView
