id,label,text,view
0,MainActivity,null,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView
1,HomeScreen,null,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
2,Lovee,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
3,Love_You,TextView I Love You,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
4,LoveSaying,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
5,MissYou,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
6,Kiss,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
7,Flirt,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
8,Breakup,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
9,Brokenheart,TextView Love,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
