id,label,text,view
0,LoginActivity,Forgot Password Login Password : Branch: Login Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton
1,ConfigActivity,Reset Proceed - Agent Code Branch Code Select Agent Select Branch Web Link Bank Name Configuration Ideal Co-Op Bank Ltd. Reset Proceed - Agent Code Branch Code Select Agent Select Branch Web Link Bank Name Configuration Ideal Co-Op Bank Ltd. Reset Proceed - Agent Code Branch Code Select Agent Select Branch Web Link Bank Name Configuration Ideal Co-Op Bank Ltd. Save & Proceed Sangli Answer 2 Question 2 Podhar English School Answer 1 Question 1 Security Question Ideal Co-Op Bank Ltd. Back Ok Reset Proceed - Agent Code Branch Code Select Agent Select Branch Web Link Bank Name Configuration Ideal Co-Op Bank Ltd. Back Ok Reset Proceed - Agent Code Branch Code Select Agent Select Branch Web Link Bank Name Configuration Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton
2,HomeActivity,View Commission Change Password Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
3,ChkSecQueActivity,Validate abcde Answer 1 Question 1 Validate Security Question Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
4,ChangePasswordActivity,Save Confirm Password : New Password : Change Password Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
5,DownloadActivity,Download Account Details Day Begin Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
6,MenuActivity,Upload Pending Collection Menu,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView
7,CollectionActivity,Back Ok Acc No Or Name: Back Print Reset Save // // Transaction Date : Collection Date : Deposit Amount : Balance : Search Account Name: Account No: Scheme Code: - Branch: Collection Ideal Co-Op Bank Ltd. Back Print Reset Save // // Transaction Date : Collection Date : Deposit Amount : Balance : Search Account Name: Account No: Scheme Code: - Branch: Collection Ideal Co-Op Bank Ltd. Back Print Reset Save // // Transaction Date : Collection Date : Deposit Amount : Balance : Search Account Name: Account No: Scheme Code: - Branch: Collection Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
8,ViewCollectionActivity,View // Date : Collection Date : Transaction Date : View Collection Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
9,ViewCommissionActivity,View dd/mm/yyyy To Date : dd/mm/yyyy From Date : View Commission Ideal Co-Op Bank Ltd.,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout list.pigmi.staticapp.mbLib.HeadingTextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
