id,label,text,view
0,MainActivity,stozek kolokwadrat stozek kolokwadrat okrag sztucdowalca sztucdostozka stozeksciety kolanko trojkat,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton
1,Stozek,0 y x 200 H i 100 r R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.StozekDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
2,KoloKwadrat,24 i y 0 x h b 300 a d,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.KoloKwadratDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
3,Kolanko,48 i 5 T 90 α D 2000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.KolankoDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
4,Okrag,b a h d,android.widget.LinearLayout com.google.android.gms.ads.AdView pl.maxer.izolerfree.OkragDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
5,StozekSciety,h H i 1000 r 2000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.StozekScietyDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
6,MainActivityWalce,sztucdowalca sztucdowalcakatprosty,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton
7,MainActivityStozki,stozeksciety sztucdostozka sztucdostozka sztucdostozkarownolegly,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TableRow android.widget.ImageButton android.widget.ImageButton android.widget.TableRow android.widget.ImageButton android.widget.ImageButton
8,Kolanko2elementowe,r 0 b 0 a 90 R 500 B 2000 A,android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
9,Trojkat,β α c b 1000 a,android.widget.LinearLayout com.google.android.gms.ads.AdView pl.maxer.izolerfree.TrojkatDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
10,SztucDoStozka,24 i 100 d h 1000 H 0 x 135 α 200 r 1000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.SztucDoStozkaDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
11,SztucDoStozkaProsty,24 i 600 d 500 h H 0 x 200 r 1000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.SztucDoStozkaProstyDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
12,SztucDoStozkaRownolegly,24 i 500 d h 1000 H 0 x 500 r 1000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.SztucDoStozkaRownoleglyDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
13,SztucDoWalcaKatProsty,24 i 0 x d R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.SztucDoWalcaKatProstyDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
14,SztucDoWalca,24 i 0 x α 200 d 1000 R,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView pl.maxer.izolerfree.SztucDoWalcaDraw android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
