id,label,text,view
0,MainActivity,… ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result More about %1$s ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result Clear Voice search Search Switch languages … ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result More about %1$s ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result Clear Voice search Search Switch languages Reset to defaults Store About Help Language Separator TTS Background Size Settings Propose Update Log Verbs Vocabulary … ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result More about %1$s ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result Clear Voice search Search Switch languages Reset to defaults Store About Help Language Separator TTS Background Size Settings Propose Update Log Verbs Vocabulary ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result More about %1$s ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result ��To avoid an excessive resources request of the device only %1$s results were displayed.You can try a more specific search or you can enable full text words searching in General Settings to narrow the result Clear Voice search Search Switch languages …,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.TextView
1,VocabularyActivity,Import predefined word categories… Your vocabulary contains: - sections: %1$s - records: %2$s - records per section: %3$s. Choose a vocabulary section: Import predefined word categories… Your vocabulary contains: - sections: %1$s - records: %2$s - records per section: %3$s. Choose a vocabulary section: Store About Help Delete vocabulary Delete section Export Add Rename Information Import Verbs Dictionary Import predefined word categories… Your vocabulary contains: - sections: %1$s - records: %2$s - records per section: %3$s. Choose a vocabulary section: Store About Help Delete vocabulary Delete section Export Add Rename Information Import Verbs Dictionary Import predefined word categories… Your vocabulary contains: - sections: %1$s - records: %2$s - records per section: %3$s. Choose a vocabulary section:,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView
2,VerbsActivity,�lWe know <b>%1$s</b> irregular verbs:<br> - <b>%2$s</b> basic forms<br> - <b>%3$s</b> derivative forms.<br> Show also archaic forms Show also derived forms Choose an initial to show verbs Quizzes Lists �lWe know <b>%1$s</b> irregular verbs:<br> - <b>%2$s</b> basic forms<br> - <b>%3$s</b> derivative forms.<br> Show also archaic forms Show also derived forms Choose an initial to show verbs Quizzes Lists �lWe know <b>%1$s</b> irregular verbs:<br> - <b>%2$s</b> basic forms<br> - <b>%3$s</b> derivative forms.<br> Show also archaic forms Show also derived forms Choose an initial to show verbs Store About Help Set a nickname Online statistics Statistics Quizzes Verbs lists Vocabulary Dictionary �lWe know <b>%1$s</b> irregular verbs:<br> - <b>%2$s</b> basic forms<br> - <b>%3$s</b> derivative forms.<br> Show also archaic forms Show also derived forms Choose an initial to show verbs Store About Help Set a nickname Online statistics Statistics Quizzes Verbs lists Vocabulary Dictionary,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
3,MAIN,null,null
4,SearchHistoryActivity,Clear search history The log is disabled.To activate it go in Dictionary menu General Settings. Clear search history The log is disabled.To activate it go in Dictionary menu General Settings.,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.ImageButton android.widget.TextView
5,SettingsActivity,Enable search history (log) Search pressing the Enter key of the virtual keyboard Keep screen awake Shake to initiate a new search Force portrait orientation Enable sounds Enable full text search (this will display only whole words delimited by non-alphanumeric characters),android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox
6,TTSSettingsActivity,Voice rate: Sample! Save! Voice pitch: A list of English voices will appear here… A list of TTS engines will appear here…,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.SeekBar android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView
7,DisplaySettingsActivity,36 34 32 30 28 26 24 22 20 18 16 14 Choose the size of the results text:,android.widget.LinearLayout android.widget.RadioGroup android.widget.TableLayout android.widget.TableRow android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TableRow android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TableRow android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView
8,BackgroundActivity,Save this background! Next -> <- Previous NO BACKGROUND This is an example text just to see how it appears on the chosen background. Choose a background using the buttons below and save your preferred one.,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView
9,PremiumVersionActivity,��Congratulations!You have purchased successfully the Premium Version of the English Romanian Dictionary.The ads won't appear anymore.Thanks for your interest in this dictionar,android.widget.LinearLayout android.widget.TextView
