id,label,text,view
0,MainActivity,Наши приложения в Google Сделать Заметку XX век XIX век XVIII век XVII век XVI век XV век XIV век XIII век Х век,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.ImageView
1,SecondActivity28,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Битва при Молодях в искусстве Карты и схемы сражений Интересное описание битвы Битва при Молодях Предыстория 26 июля началась битва сравнимая для русской истории по значимости с Бородино и Куликовской. Забытое историками игнорируемое школьными академическими программами Молодейское (молодинское) сражение 1572 года в ходе которого 20-тысячное русское войско наголову разгромило 140-тысячный экспедиционный корпус ордынского хана Девлет Гирея с высоты лет сегодняшних можно смело записать в события кардинально изменившие евразийскую карту на ближайшие 500 лет. Битва при Молодях (1572 год),android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
2,SecondActivity6,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Сражение на Угре в живописи Топографические карты 7 тайн стояния на Угре Сражение на Угре Секретный договор Завершающим этапом в свержении ордынского ига продолжавшегося практически 2 века послужило Великое стояние на реке Угре. Однако в современной литературе этому противостоянию уделяется малое внимание. Гораздо более известной является Куликовская битва но именно стояние на реке Угре завершилось полным свержением ордынского ига. Стояние на Угре (1480 год),android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
3,SecondActivity,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Куликовская битва в живописи Карты сражений Легенда о иконе Спорное в историографии Куликовская битва Численность войск в битве Составы войск противников Сражение на Куликовом поле подвело итоги длительному противостоянию Руси и Орды. Накануне Мамай вступил в конфронтацию с московским великим князем Дмитрием отказавшимся увеличивать выплачиваемую Орде дань. Это подтолкнуло хана к военным действиям. Дмитрию удалось собрать внушительное войско состоявшее из московских серпуховских белозерских ярославских и ростовских полков. По разным оценкам 8 сентября 1380 года в решающей битве сошлось от 40 до 70 тыс. русских и от 90 до 150 тыс. ордынских войск. Победа Дмитрия Донского значительно ослабила Золотую Орду что предопределило её дальнейший распад. Куликовская битва (1380 год),android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
4,SecondActivity9,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Взятие Берлина Битва на Курской дуге Сталинградская битва Оборона Москвы Халхин-Гольская операция Брусиловский прорыв Взятие Перемышля Сражение при Сарыкамыше Двадцатый век к сожалению был очень напряженным и насыщенным большим количеством различных войн и военных конфликтов. Достаточно сказать что в самом начале двадцатого века состоялась Русско-японская война потом две мировые войны: первая и вторая. В двадцатом веке было только крупных 450 локальных войн и вооруженных конфликтов. После каждой войны заключались соглашения и договора народы и правительства надеялись на длительный мир. Не было недостатка в большом количестве заявлений и заклинаний против войн и за создание устойчивого мира. Но к сожалению войны возникали вновь и вновь. Военные операции России в 20 веке,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
5,OsnovActivity,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Битва под Шипкой Синопское сражение Взятие Эривани Бой под Елисаветполем Бородинская битва На протяжении 1801–1881 годов Российская империя воевала почти непрерывно. Войны России в XIX веке велись как правило за присоединение новых территорий или за распределение сфер влияния. Исключения составляли только Отечественная война 1812 года и отчасти Крымская война. Войны 19 века в России,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
6,SecondActivity2,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Военно топографические карты Погром Хазарии Немного о Герое Армии противников Хазарcкий Каганат В лето 965 великий русский князь Святослав Игоревич разгромил хазарскую армию и взял столицу Хазарского каганата – Итиль. Молниеносный удар русских дружин при поддержке союзных печенегов привёл к крушению паразитарного Хазарского государства. Русы свершили священную месть уничтожив хазарского «змея». Блестящая военная победа Святослава укрепила юго-восточный фланг «империи Рюриковичей». Разгром Хазарского каганата (965 год),android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
7,SecondActivity3,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцами а затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Ледовое побоище (1242 год) Невская Битва (1240 год) В тяжёлые годы монгольского нашествия русскому народу пришлось отражать натиск немецких и шведских феодалов.,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.TextView
8,SecondActivity7,Это ознакомительное приложение!!! Приставка free в названии приложения означает - условно бесплатно.То есть только в целях ознакомления и в дальнейшем если вам приложение понравилось вы можете купить его у изготовителя.В бесплатной версии (free) предоставлена не вся информация и доступны не все разделы.Бесплатная версия не подлежит обновлению.Доступ ко всем закрытым разделам можно найти в коммерческой версии приложения.(Платно) Картинки можно приблизить или отдалить обычными щипками.(Коснитесь экрана или объекта двумя или несколькими пальцамиа затем сведите пальцы вместе (щипок) или разведите их в стороны друг от друга (растяжение). В результате на экран будет выведена информация различного уровня либо будет выполнено визуальное приближение или отдаление). p/s Московская битва в искусстве Топографические карты Ход сражения Силы сторон Минин и Пожарский Решающим эпизодом Смутного времени стало сражение сил Второго ополчения возглавляемых Кузьмой Мининым и Дмитрием Пожарским с войском гетмана Ходкевича пытавшегося деблокировать польско-литовский гарнизон запершийся в Кремле. Первые часы развернувшегося в районе Замоскворечья боя польско-литовские отряды превосходившие в численности русских (12 тыс. против 8 тыс.) усиленно их теснили. Но как пишут летописи русские полководцы воспользовались небольшой передышкой и сумели восстановить моральный дух войска. Контрнаступление ополчения в итоге внесло сумятицу в лагерьЯна Ходкевича и обратило противника в бегство. «Надежда завладеть целым Московским государством рушилась невозвратно» – замечает польский хронист. Московская битва (1612),android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView ru.example.atlasvoenfree.TouchImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
9,SecondActivity5,,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button android.widget.ImageView android.widget.Button
