id,label,text,view
0,loginsaasdroid,SaasDroid v.1.0.0.7 www.saasnet.com.ar SALIR INGRESO AL SISTEMA Contraseña Usuario,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.ImageView
1,SaasDroidActivity,SALIR ACTUALIZAR DATOS ARTICULOS CLIENTES Todos los pedidos enviados!!!,android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.Button android.widget.TableRow android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.LinearLayout android.widget.TextView
2,Imprimir,Deshabilitar Imprimir Reporte Listar Impresoras Hola Mundo!,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView
3,REQUEST_ENABLE,null,null
4,DeviceListActivity,My Text,android.widget.LinearLayout android.widget.ListView android.widget.TextView
5,pedidosnoenviados,ir al menú principal ELIMINAR los pedidos no enviados Enviar TODOS los pedidos,android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.Button android.widget.Button
6,listaarticulos,Label2: Some Text Label1: Buscar Artículos... IR A MENU PRINCIPAL,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Button
7,listarclientes,direccion telefono cuit - Buscar Clientes... IR A MENU PRINCIPAL,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.Button
8,pedidoactual,+ Buscar Artículos IR A BUSCAR CLIENTES,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button
9,ActualizaDesdeCentral,INGRESO A LA APLICACION ACTUALIZAR PRECIOS Y STOCK,android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.Button android.widget.Button
10,buscaarticulos,Some Text Label2: Some Text Label1: Buscar Artículos... IR AL MENU PRINCIPAL,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Button
11,ingresaarticulo,Cancelar GRABAR Precio: Descuento Cantidad: Large Text,android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView
