id,label,text,view
0,MainActivity,Info,android.widget.RelativeLayout android.widget.Button android.widget.ListView android.widget.Button
1,PageView,null,android.widget.RelativeLayout android.support.v4.view.ViewPager
2,ScanDevice,Scan Device,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.ListView
3,AddDevice,Add Device IP Name,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
4,ModDevice,Large Text Name,android.widget.RelativeLayout android.widget.GridView android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
5,ModDeviceOutput,Save Large Text,android.widget.RelativeLayout android.widget.GridView android.widget.Button android.widget.EditText android.widget.TextView
6,ModDeviceInput,Save Large Text,android.widget.RelativeLayout android.widget.GridView android.widget.Button android.widget.EditText android.widget.TextView
7,ModDeviceName,Save Name,android.widget.RelativeLayout android.widget.GridView android.widget.Button android.widget.EditText android.widget.TextView
8,LinkDevice,Load Scene Save Scene OFF Refresh in/ out TextView Large Text,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.ToggleButton android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
9,ModChannel,TextView Large Text TextView,android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
10,SaveScene,TextView TextView Large Text,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
11,LoadScene,Read TextView TextView Large Text,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
12,InModChannel,Apply Select all TextView Large Text Unselect all TextView Large Text TextView,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
13,InLinkDevice,Video off Save Scene OFF Refresh out in/ TextView Large Text,android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.ToggleButton android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
